"clearances_avg_home","corners_avg_home","passes_avg_home","possession_avg_home","shots_avg_home","shots_on_target_avg_home","touches_avg_home","goals_scored_ft_avg_home","goals_conced_ft_avg_home","performance_acum_home"
"38.4","4.6","407.9","48.3","12.9","4.4","619.1","1.44","2.22","37"
"29.8","5.6","440.1","52.7","15.3","5.3","659.5","1.35","1.23","48.4"
"29.1","6.1","517.3","57.6","16.5","5.6","726.1","2.33","1.07","68.9"
"32.3","4","256","35.7","13","4","442","0.67","2","0"
"38.7","5","446.8","51.6","14.2","4.5","669.1","1.08","1.08","38.5"
"","","","","","","","","",""
"42.6","5","276.9","40.1","11.7","3.1","500.3","1","1.14","38.1"
"32.1","5.6","482.3","54","13.6","4.6","697.2","1.41","0.76","62.7"
"37.4","4.8","349.7","46.5","14.2","3.4","566.8","1.15","1","48.7"
"29","3","626","60.8","14","2","856","0","0","33.3"
"39.1","4.7","333.2","46","14.5","4.8","558.9","1.48","1.35","43.5"
"38.7","4.8","302.6","42.3","11.7","3.4","520.5","1.21","1.64","35.4"
"30","7.1","520.1","57.8","17.6","6.2","747.4","2","1.12","62.7"
"34.7","5.1","266.9","39","13.6","3.6","474.3","1.15","1.26","40.7"
"31","5.6","436.9","51.9","14.9","4.7","655.4","1.13","1.27","42.2"
"42.4","4.8","403.1","49.8","14","4.2","627.2","1.5","1.96","38.1"
"39.3","5","436.6","51","14.5","4.5","659.8","1.23","1.03","42.9"
"32.7","3.9","382.3","48.8","10.8","3.4","578.9","1","1.17","35.2"
"29.5","5.3","444.2","52.2","15","4.7","660.9","1.17","1.28","40.7"
"30.8","5.8","482","54","14.4","4.8","696","1.6","0.8","63.3"
"33.3","5.7","271.1","40","14.6","4","476.7","1.21","1.26","42.1"
"38","4.8","370.8","47.1","14.8","3.9","592.8","1.05","1.1","45"
"34.3","7.6","417.2","52.4","17.1","5.2","644.9","1.53","1.21","57.9"
"26.7","5.6","376.1","49.2","15.4","4.1","586.1","1.32","1.79","38.6"
"33.1","4.5","350.5","43.8","14.2","3.4","570.5","1","1.65","28.3"
"33.6","6.3","377.1","47.5","13.6","4.2","593.7","1.06","1.69","35.4"
"29.8","6.2","413.9","53.8","17","4.7","632.1","1.12","1.25","35.4"
"38.4","5.2","454.2","51.2","14.3","4","676.9","1","1.25","31.2"
"28.2","4.6","401.8","51.5","12.5","4.3","614.2","1.5","1.56","39.6"
"33.4","5.4","269.9","39.2","14.2","4.1","474.9","1.31","1.31","43.8"
"32.8","4.8","360.7","44.7","14.2","3.8","583.1","0.88","1.69","25"
"31.7","9","548","60.4","20.3","6.7","781","3","0.67","77.8"
"33","8","469","65.7","19","3.7","697.7","0.33","1","11.1"
"46.7","6","402","47.4","16","5.7","631.3","1.33","1.33","33.3"
"29","5","558.7","57.8","12","2.3","783.7","1","0.33","44.4"
"32","5","347.7","46.5","12.3","6.3","552.7","2.33","1.33","44.4"
"34.7","4","390.3","48.1","13","2.3","598.7","0.33","2.33","33.3"
"29.7","5.7","348.3","44.4","14.7","3.3","567","0.33","3","0"
"26.7","4.3","395","48.1","14.3","4.3","605","0.33","3.33","33.3"
"29.3","6.8","522.4","58.1","17.5","6.7","745","2.16","1.08","66.7"
"33","4.1","378.6","48.3","11.2","3.3","579.1","1","1.38","37.5"
